Tanggal,Nama Gempa,Jumlah,Amplitudo Min (mm),Amplitudo Max (mm),Durasi Min (detik),Durasi Max (detik)
19 Maret 2025,Vulkanik Dalam,6,11.0,44.4,10.0,16.0
19 Maret 2025,Tektonik Lokal,2,2.9,7.4,29.0,41.0
19 Maret 2025,Tektonik Jauh,9,2.9,29.6,41.0,272.0
20 Maret 2025,Hembusan,73,3.7,47.3,20.0,124.0
20 Maret 2025,Harmonik,4,2.9,14.8,60.0,83.0
20 Maret 2025,Low Frequency,8,7.4,47.3,33.0,50.0
20 Maret 2025,Vulkanik Dangkal,1,,47.3,,15.0
20 Maret 2025,Vulkanik Dalam,202,4.4,47.3,8.0,29.0
20 Maret 2025,Tektonik Lokal,10,7.4,47.3,22.0,38.0
20 Maret 2025,Tektonik Jauh,4,14.8,47.3,46.0,75.0
21 Maret 2025,Hembusan,50,2.9,47.3,22.0,107.0
21 Maret 2025,Harmonik,17,2.9,7.4,20.0,215.0
21 Maret 2025,Low Frequency,1,,2.9,,22.0
21 Maret 2025,Vulkanik Dalam,16,3.7,47.3,11.0,22.0
21 Maret 2025,Tektonik Jauh,5,5.1,29.6,43.0,166.0
22 Maret 2025,Hembusan,13,2.9,11.0,35.0,122.0
22 Maret 2025,Harmonik,9,2.9,7.4,33.0,197.0
22 Maret 2025,Low Frequency,2,11.0,47.3,23.0,45.0
22 Maret 2025,Vulkanik Dalam,16,2.9,44.0,8.0,19.0
22 Maret 2025,Tektonik Lokal,3,11.0,18.5,20.0,30.0
22 Maret 2025,Getaran Banjir,2,,47.3,2411.0,2521.0
23 Maret 2025,Hembusan,10,2.2,11.0,26.0,140.0
23 Maret 2025,Harmonik,21,2.9,7.4,22.0,146.0
23 Maret 2025,Vulkanik Dalam,2,2.9,7.4,12.0,14.0
23 Maret 2025,Tektonik Lokal,2,3.7,4.4,26.0,33.0
23 Maret 2025,Tektonik Jauh,7,2.2,47.3,61.0,223.0
24 Maret 2025,Hembusan,12,2.2,7.4,37.0,169.0
24 Maret 2025,Harmonik,20,2.9,7.4,53.0,181.0
24 Maret 2025,Low Frequency,1,,2.9,,36.0
24 Maret 2025,Vulkanik Dalam,3,4.4,44.4,11.0,19.0
24 Maret 2025,Tektonik Jauh,1,,2.2,,83.0
25 Maret 2025,Hembusan,8,2.2,7.4,20.0,59.0
25 Maret 2025,Harmonik,19,2.2,7.4,43.0,238.0
25 Maret 2025,Tektonik Lokal,2,5.1,7.4,25.0,29.0
25 Maret 2025,Tektonik Jauh,9,2.9,47.3,42.0,304.0
26 Maret 2025,Hembusan,23,2.9,14.8,25.0,157.0
26 Maret 2025,Harmonik,7,5.9,7.4,68.0,387.0
26 Maret 2025,Vulkanik Dalam,1,,4.4,,11.0
26 Maret 2025,Tektonik Jauh,5,7.4,29.6,50.0,167.0
27 Maret 2025,Hembusan,17,2.9,44.0,32.0,164.0
27 Maret 2025,Harmonik,10,3.7,7.4,62.0,181.0
27 Maret 2025,Low Frequency,1,,7.4,,30.0
27 Maret 2025,Vulkanik Dalam,1,,4.4,,18.0
27 Maret 2025,Tektonik Lokal,2,5.9,14.8,23.0,32.0
27 Maret 2025,Tektonik Jauh,6,4.4,22.2,37.0,180.0
28 Maret 2025,Hembusan,14,3.7,5.9,39.0,128.0
28 Maret 2025,Harmonik,7,4.4,7.4,24.0,91.0
28 Maret 2025,Vulkanik Dalam,2,7.4,11.0,,13.0
28 Maret 2025,Tektonik Lokal,1,,5.9,,24.0
28 Maret 2025,Tektonik Jauh,5,2.9,44.4,87.0,432.0
29 Maret 2025,Hembusan,18,2.2,29.6,41.0,188.0
29 Maret 2025,Harmonik,4,4.4,7.4,87.0,404.0
29 Maret 2025,Vulkanik Dalam,2,2.2,10.5,14.0,16.0
29 Maret 2025,Tektonik Lokal,1,,22.2,,31.0
29 Maret 2025,Tektonik Jauh,4,2.2,47.3,64.0,179.0
30 Maret 2025,Hembusan,14,2.2,5.1,38.0,193.0
30 Maret 2025,Harmonik,7,2.2,7.4,24.0,170.0
30 Maret 2025,Tektonik Lokal,2,,2.9,24.0,29.0
30 Maret 2025,Tektonik Jauh,9,2.9,22.0,42.0,343.0
31 Maret 2025,Hembusan,18,2.2,5.9,31.0,96.0
31 Maret 2025,Low Frequency,1,,4.4,,20.0
31 Maret 2025,Vulkanik Dalam,1,,4.4,,19.0
31 Maret 2025,Tektonik Lokal,2,4.4,7.4,,21.0
31 Maret 2025,Tektonik Jauh,8,2.9,47.3,45.0,225.0
01 April 2025,Hembusan,26,2.2,22.2,20.0,141.0
01 April 2025,Vulkanik Dalam,3,2.2,5.9,12.0,19.0
01 April 2025,Tektonik Lokal,1,,4.4,,23.0
01 April 2025,Tektonik Jauh,10,2.2,47.3,56.0,448.0
01 April 2025,Getaran Banjir,1,,17.1,,2132.0
02 April 2025,Hembusan,21,2.2,10.5,23.0,179.0
02 April 2025,Harmonik,19,3.7,7.4,39.0,175.0
02 April 2025,Low Frequency,1,,2.9,,47.0
02 April 2025,Vulkanik Dalam,4,2.9,7.4,10.0,19.0
02 April 2025,Tektonik Jauh,10,2.2,29.6,51.0,188.0
03 April 2025,Hembusan,14,2.2,9.6,25.0,213.0
03 April 2025,Harmonik,7,5.1,9.6,71.0,136.0
03 April 2025,Vulkanik Dalam,8,3.3,14.8,6.6,20.0
03 April 2025,Tektonik Jauh,3,11.0,29.6,44.0,277.0
04 April 2025,Hembusan,39,2.2,14.8,22.0,168.0
04 April 2025,Low Frequency,1,,2.9,,25.0
04 April 2025,Vulkanik Dalam,3,2.9,13.3,9.9,13.0
04 April 2025,Tektonik Jauh,3,5.9,14.8,71.0,108.0
05 April 2025,Hembusan,20,2.2,10.3,24.0,149.0
05 April 2025,Vulkanik Dalam,9,2.2,10.3,12.0,22.0
05 April 2025,Tektonik Lokal,7,2.9,47.3,16.8,37.0
05 April 2025,Tektonik Jauh,9,2.2,47.3,46.0,613.0
06 April 2025,Hembusan,19,2.2,14.8,24.0,100.0
06 April 2025,Vulkanik Dalam,6,2.2,10.5,11.0,18.0
06 April 2025,Tektonik Lokal,1,,14.8,,27.0
06 April 2025,Tektonik Jauh,7,2.2,47.3,39.0,147.0
07 April 2025,Hembusan,14,2.2,7.4,34.0,189.0
07 April 2025,Harmonik,23,2.2,47.3,64.0,381.0
07 April 2025,Vulkanik Dalam,2,2.9,3.7,12.0,19.0
07 April 2025,Tektonik Lokal,2,14.8,22.9,22.0,24.9
07 April 2025,Tektonik Jauh,4,2.9,14.8,37.0,100.0
08 April 2025,Hembusan,69,2.2,47.3,22.0,161.0
08 April 2025,Harmonik,15,2.9,44.4,51.0,701.0
08 April 2025,Vulkanik Dalam,4,2.9,7.4,12.0,18.0
08 April 2025,Tektonik Lokal,1,,47.3,,35.0
08 April 2025,Tektonik Jauh,7,2.9,29.6,49.0,331.0
09 April 2025,Hembusan,73,2.9,47.3,17.0,153.0
09 April 2025,Harmonik,33,2.2,47.3,47.0,926.0
09 April 2025,Low Frequency,1,,2.9,,25.0
09 April 2025,Vulkanik Dalam,4,2.9,7.4,13.0,22.0
09 April 2025,Tektonik Jauh,4,7.4,31.0,54.0,88.0
10 April 2025,Hembusan,47,2.2,22.0,24.0,105.0
10 April 2025,Harmonik,14,2.9,11.0,40.0,188.0
10 April 2025,Low Frequency,4,4.4,5.1,29.0,32.0
10 April 2025,Vulkanik Dalam,3,7.4,14.8,16.0,23.0
10 April 2025,Tektonik Lokal,4,5.9,47.3,22.0,38.0
10 April 2025,Tektonik Jauh,3,4.4,14.8,178.0,288.0
11 April 2025,Hembusan,24,3.7,29.6,25.0,312.0
11 April 2025,Low Frequency,1,,10.5,,22.0
11 April 2025,Vulkanik Dalam,2,5.9,23.6,11.0,12.0
11 April 2025,Tektonik Jauh,1,,14.8,,66.0
11 April 2025,Getaran Banjir,1,,22.0,,3273.0
12 April 2025,Hembusan,14,2.2,10.5,28.0,98.0
12 April 2025,Harmonik,3,2.2,5.1,51.0,173.0
12 April 2025,Tektonik Lokal,1,,44.4,,26.0
12 April 2025,Tektonik Jauh,4,2.9,17.0,25.0,102.0
13 April 2025,Hembusan,19,2.9,11.0,17.0,87.0
13 April 2025,Harmonik,8,2.9,5.9,33.0,95.0
13 April 2025,Tornillo,1,,2.9,,21.0
13 April 2025,Vulkanik Dalam,4,2.2,5.1,9.0,24.0
13 April 2025,Tektonik Jauh,9,2.9,22.2,45.0,176.0
14 April 2025,Hembusan,17,4.4,37.0,25.0,118.0
14 April 2025,Harmonik,9,2.9,7.4,67.0,182.0
14 April 2025,Low Frequency,1,,5.9,,24.0
14 April 2025,Tektonik Lokal,1,,8.8,,22.0
14 April 2025,Tektonik Jauh,5,5.9,47.3,67.0,203.0
15 April 2025,Hembusan,47,2.2,22.2,24.0,196.0
15 April 2025,Harmonik,29,2.2,14.8,59.0,994.0
15 April 2025,Low Frequency,2,4.4,14.8,30.0,32.0
15 April 2025,Vulkanik Dalam,4,2.2,14.8,11.0,16.0
15 April 2025,Tektonik Lokal,2,5.9,29.6,29.0,34.0
15 April 2025,Tektonik Jauh,3,2.2,10.5,54.0,121.0
16 April 2025,Hembusan,43,2.9,22.2,14.0,206.0
16 April 2025,Harmonik,2,4.4,10.5,22.0,86.0
16 April 2025,Vulkanik Dalam,4,2.9,5.0,10.0,18.0
16 April 2025,Tektonik Lokal,1,,16.0,,27.0
16 April 2025,Tektonik Jauh,7,2.9,10.5,34.0,218.0
17 April 2025,Hembusan,22,2.9,11.0,35.0,186.0
17 April 2025,Harmonik,10,4.4,7.4,38.0,164.0
17 April 2025,Low Frequency,3,2.9,11.0,31.0,54.0
17 April 2025,Vulkanik Dalam,6,3.7,11.8,9.0,19.0
17 April 2025,Tektonik Lokal,2,2.9,5.1,19.0,32.0
17 April 2025,Tektonik Jauh,5,7.4,44.4,32.0,243.0
18 April 2025,Hembusan,35,2.2,11.0,23.0,170.0
18 April 2025,Harmonik,2,,4.4,121.0,147.0
18 April 2025,Low Frequency,2,2.2,5.9,23.0,29.0
18 April 2025,Vulkanik Dalam,6,2.9,11.0,8.0,18.0
18 April 2025,Tektonik Jauh,5,2.9,47.3,52.0,225.0
18 April 2025,Getaran Banjir,2,,7.4,1564.0,2343.0
19 April 2025,Hembusan,26,2.1,7.4,27.0,137.0
19 April 2025,Harmonik,11,2.9,7.4,85.0,170.0
19 April 2025,Low Frequency,1,,4.4,,26.0
19 April 2025,Vulkanik Dalam,8,2.2,17.0,10.0,18.0
19 April 2025,Tektonik Lokal,1,,7.4,,36.0
19 April 2025,Tektonik Jauh,3,4.4,14.8,65.0,80.0
20 April 2025,Hembusan,16,2.9,7.4,34.0,154.0
20 April 2025,Harmonik,5,3.7,7.4,44.0,100.0
20 April 2025,Low Frequency,2,2.9,5.1,22.0,28.0
20 April 2025,Vulkanik Dalam,1,,3.7,,13.0
20 April 2025,Tektonik Lokal,1,,14.8,,20.0
20 April 2025,Tektonik Jauh,6,2.9,22.0,63.0,325.0
20 April 2025,Getaran Banjir,1,,11.0,,1179.0
21 April 2025,Hembusan,47,2.9,14.8,23.0,337.0
21 April 2025,Harmonik,1,,4.4,,103.0
21 April 2025,Vulkanik Dalam,1,,5.0,,8.0
21 April 2025,Tektonik Jauh,3,11.0,44.4,52.0,263.0
22 April 2025,Hembusan,23,2.2,22.2,21.0,208.0
22 April 2025,Harmonik,3,14.0,47.3,102.0,1761.0
22 April 2025,Low Frequency,2,,47.3,17.0,29.0
22 April 2025,Tektonik Lokal,1,,2.9,,23.0
23 April 2025,Hembusan,6,3.7,7.4,31.0,107.0
23 April 2025,Harmonik,32,2.9,47.3,45.0,1676.0
23 April 2025,Vulkanik Dalam,1,,14.8,,8.0
23 April 2025,Tektonik Jauh,4,14.8,44.0,41.0,79.0
24 April 2025,Hembusan,22,3.7,14.8,24.0,63.0
24 April 2025,Harmonik,23,3.7,7.4,33.0,186.0
24 April 2025,Low Frequency,2,5.9,7.4,17.0,26.0
24 April 2025,Vulkanik Dalam,3,5.9,11.0,10.0,15.0
24 April 2025,Tektonik Jauh,2,5.9,11.0,50.0,52.0
25 April 2025,Guguran,2,7.4,11.8,51.0,56.0
25 April 2025,Hembusan,44,2.2,24.4,22.0,314.0
25 April 2025,Harmonik,5,4.4,47.3,50.0,102.0
25 April 2025,Low Frequency,3,4.4,33.3,20.0,58.0
25 April 2025,Vulkanik Dalam,9,2.2,7.4,10.0,22.0
25 April 2025,Tektonik Jauh,1,,4.4,,50.0
26 April 2025,Hembusan,28,2.2,22.9,12.0,125.0
26 April 2025,Low Frequency,4,4.4,8.8,18.0,22.0
26 April 2025,Vulkanik Dalam,6,2.5,4.4,6.0,12.0
26 April 2025,Tektonik Lokal,2,3.7,5.9,19.0,33.0
26 April 2025,Tektonik Jauh,5,2.2,8.0,33.0,131.0
27 April 2025,Hembusan,22,2.2,14.8,13.0,188.0
27 April 2025,Harmonik,2,4.4,7.4,66.0,92.0
27 April 2025,Low Frequency,1,,3.7,,20.0
27 April 2025,Vulkanik Dalam,10,4.4,14.8,8.0,17.0
27 April 2025,Tektonik Lokal,2,4.4,22.0,16.0,23.0
27 April 2025,Tektonik Jauh,4,2.9,7.4,31.0,71.0
28 April 2025,Hembusan,16,2.9,7.4,33.0,157.0
28 April 2025,Harmonik,25,2.9,11.0,34.0,175.0
28 April 2025,Low Frequency,3,2.9,4.4,23.0,27.0
28 April 2025,Vulkanik Dalam,5,2.9,7.4,10.0,14.0
28 April 2025,Tektonik Jauh,4,4.4,11.0,41.0,77.0
28 April 2025,Double Event,2,2.9,6.6,10.0,16.0
29 April 2025,Guguran,4,2.9,14.8,33.0,57.0
29 April 2025,Hembusan,23,2.2,10.5,21.0,108.0
29 April 2025,Harmonik,10,3.7,7.4,56.0,266.0
29 April 2025,Vulkanik Dalam,10,2.9,10.5,10.0,20.0
29 April 2025,Tektonik Lokal,3,4.4,10.5,23.0,29.0
29 April 2025,Tektonik Jauh,8,2.9,10.5,45.0,279.0
30 April 2025,Hembusan,14,2.2,7.4,36.0,184.0
30 April 2025,Harmonik,18,2.9,7.4,61.0,282.0
30 April 2025,Vulkanik Dalam,11,2.9,29.6,9.0,20.0
30 April 2025,Tektonik Lokal,2,4.4,10.5,33.0,35.0
30 April 2025,Tektonik Jauh,9,2.2,29.6,44.0,170.0
01 Mei 2025,Guguran,3,2.9,14.8,82.0,96.0
01 Mei 2025,Hembusan,26,2.9,14.8,22.0,91.0
01 Mei 2025,Harmonik,11,2.2,10.5,68.0,220.0
01 Mei 2025,Low Frequency,1,,2.2,,26.0
01 Mei 2025,Vulkanik Dalam,18,2.2,29.6,9.0,19.0
01 Mei 2025,Tektonik Lokal,1,,7.4,,35.0
01 Mei 2025,Tektonik Jauh,5,2.2,22.2,43.0,172.0
02 Mei 2025,Guguran,4,7.4,22.2,38.0,83.0
02 Mei 2025,Hembusan,21,4.4,14.8,24.0,158.0
02 Mei 2025,Harmonik,17,4.4,22.2,42.0,311.0
02 Mei 2025,Low Frequency,2,4.4,7.4,21.0,22.0
02 Mei 2025,Vulkanik Dalam,10,4.4,29.6,11.0,19.0
02 Mei 2025,Tektonik Lokal,1,,14.8,,39.0
02 Mei 2025,Tektonik Jauh,5,3.7,14.8,50.0,99.0
03 Mei 2025,Hembusan,15,3.7,18.5,32.0,116.0
03 Mei 2025,Harmonik,18,4.4,14.8,31.0,94.0
03 Mei 2025,Vulkanik Dalam,14,2.9,14.8,9.0,17.0
03 Mei 2025,Tektonik Jauh,2,11.0,44.4,52.0,133.0
04 Mei 2025,Hembusan,26,2.2,14.8,21.0,97.0
04 Mei 2025,Harmonik,8,4.4,14.8,25.0,105.0
04 Mei 2025,Low Frequency,1,,2.9,,28.0
04 Mei 2025,Vulkanik Dalam,11,2.2,7.4,9.0,16.0
04 Mei 2025,Tektonik Lokal,4,4.4,14.8,21.0,37.0
04 Mei 2025,Tektonik Jauh,11,2.9,29.6,50.0,155.0
05 Mei 2025,Hembusan,10,2.2,7.4,25.0,146.0
05 Mei 2025,Harmonik,31,2.2,7.4,39.0,324.0
05 Mei 2025,Low Frequency,2,2.9,5.9,20.0,24.0
05 Mei 2025,Vulkanik Dalam,4,2.9,6.6,13.0,17.0
05 Mei 2025,Tektonik Lokal,1,,4.4,,21.0
05 Mei 2025,Tektonik Jauh,8,2.9,22.0,42.0,157.0
06 Mei 2025,Hembusan,36,2.2,10.5,24.0,235.0
06 Mei 2025,Harmonik,12,2.2,7.4,31.0,257.0
06 Mei 2025,Low Frequency,2,4.4,7.4,28.0,37.0
06 Mei 2025,Vulkanik Dalam,7,2.9,14.8,10.0,21.0
06 Mei 2025,Tektonik Lokal,2,5.9,22.2,18.0,29.0
06 Mei 2025,Tektonik Jauh,3,4.4,7.4,46.0,145.0
07 Mei 2025,Hembusan,22,2.2,14.8,24.0,221.0
07 Mei 2025,Harmonik,16,2.9,7.4,74.0,280.0
07 Mei 2025,Low Frequency,1,,4.4,,29.0
07 Mei 2025,Vulkanik Dalam,4,4.4,7.4,10.0,16.0
07 Mei 2025,Tektonik Lokal,3,5.9,29.6,20.0,26.0
07 Mei 2025,Tektonik Jauh,7,2.2,11.0,43.0,193.0
08 Mei 2025,Hembusan,11,2.2,5.9,30.0,147.0
08 Mei 2025,Harmonik,19,2.9,7.4,40.0,273.0
08 Mei 2025,Low Frequency,2,2.9,4.4,20.0,23.0
08 Mei 2025,Vulkanik Dalam,8,2.9,7.4,9.0,16.0
08 Mei 2025,Tektonik Lokal,2,4.4,14.8,20.0,46.0
08 Mei 2025,Tektonik Jauh,4,2.9,29.6,39.0,79.0
09 Mei 2025,Hembusan,15,2.9,14.8,30.0,267.0
09 Mei 2025,Harmonik,11,2.9,7.4,54.0,126.0
09 Mei 2025,Vulkanik Dalam,6,2.2,14.8,12.0,19.0
09 Mei 2025,Tektonik Jauh,3,2.9,22.2,41.0,124.0
10 Mei 2025,Hembusan,15,2.9,14.8,34.0,226.0
10 Mei 2025,Harmonik,13,2.9,7.4,58.0,148.0
10 Mei 2025,Low Frequency,4,2.2,7.4,18.0,28.0
10 Mei 2025,Vulkanik Dalam,3,3.7,47.3,11.0,17.0
10 Mei 2025,Tektonik Lokal,2,2.2,10.5,22.0,27.0
10 Mei 2025,Tektonik Jauh,3,2.2,47.3,58.0,248.0
10 Mei 2025,Getaran Banjir,2,11.0,14.8,787.0,2388.0
11 Mei 2025,Hembusan,11,2.2,7.4,30.0,107.0
11 Mei 2025,Harmonik,7,2.2,7.4,78.0,320.0
11 Mei 2025,Low Frequency,3,2.2,3.7,20.0,28.0
11 Mei 2025,Vulkanik Dalam,4,5.9,29.6,12.0,22.0
11 Mei 2025,Tektonik Lokal,3,4.4,11.0,22.0,29.0
11 Mei 2025,Tektonik Jauh,6,2.2,29.6,46.0,272.0
12 Mei 2025,Hembusan,24,2.2,7.4,20.0,154.0
12 Mei 2025,Harmonik,8,2.9,7.4,89.0,149.0
12 Mei 2025,Low Frequency,6,2.2,3.7,25.0,46.0
12 Mei 2025,Vulkanik Dalam,3,2.2,47.3,10.0,16.0
12 Mei 2025,Tektonik Jauh,7,2.9,44.4,40.0,99.0
13 Mei 2025,Hembusan,30,2.2,10.5,25.0,199.0
13 Mei 2025,Harmonik,19,2.2,7.4,24.0,192.0
13 Mei 2025,Low Frequency,1,,4.4,,23.0
13 Mei 2025,Vulkanik Dalam,3,2.2,4.4,10.0,16.0
13 Mei 2025,Tektonik Lokal,3,4.4,44.4,25.0,28.0
13 Mei 2025,Tektonik Jauh,6,3.7,10.5,52.0,145.0
14 Mei 2025,Hembusan,16,2.2,5.9,32.0,96.0
14 Mei 2025,Harmonik,16,2.2,7.4,61.0,228.0
14 Mei 2025,Low Frequency,7,2.9,4.4,19.0,228.0
14 Mei 2025,Vulkanik Dalam,2,4.4,14.8,10.0,15.0
14 Mei 2025,Tektonik Jauh,6,2.9,8.8,44.0,245.0
15 Mei 2025,Hembusan,11,2.2,7.4,46.0,115.0
15 Mei 2025,Harmonik,19,2.9,7.4,46.0,248.0
15 Mei 2025,Vulkanik Dalam,6,2.9,4.4,11.0,16.0
15 Mei 2025,Tektonik Lokal,1,,22.0,,22.0
15 Mei 2025,Tektonik Jauh,7,3.7,47.3,37.0,316.0
16 Mei 2025,Hembusan,17,2.9,10.5,23.0,140.0
16 Mei 2025,Harmonik,11,2.9,7.5,32.0,97.0
16 Mei 2025,Low Frequency,2,2.9,5.9,22.0,25.0
16 Mei 2025,Vulkanik Dalam,5,2.2,47.3,10.0,16.0
16 Mei 2025,Tektonik Lokal,1,,2.9,,22.0
16 Mei 2025,Tektonik Jauh,5,2.9,10.5,75.0,131.0
17 Mei 2025,Hembusan,25,2.2,7.4,20.0,123.0
17 Mei 2025,Harmonik,5,4.4,10.5,73.0,97.0
17 Mei 2025,Low Frequency,3,,2.9,21.0,33.0
17 Mei 2025,Vulkanik Dalam,3,2.2,4.4,10.0,12.0
17 Mei 2025,Tektonik Lokal,3,2.2,47.3,24.0,32.0
17 Mei 2025,Tektonik Jauh,10,2.2,14.6,62.0,190.0
18 Mei 2025,Hembusan,21,2.9,47.3,22.0,269.0
18 Mei 2025,Harmonik,6,7.4,47.3,128.0,226.0
18 Mei 2025,Low Frequency,2,3.7,7.4,20.0,21.0
18 Mei 2025,Vulkanik Dalam,2,7.4,10.5,10.0,19.0
18 Mei 2025,Tektonik Lokal,1,,37.0,,28.0
18 Mei 2025,Tektonik Jauh,6,7.4,44.0,43.0,128.0
19 Mei 2025,Hembusan,19,2.9,47.3,30.0,190.0
19 Mei 2025,Harmonik,18,5.1,47.3,65.0,9279.0
20 Mei 2025,Hembusan,9,3.7,11.0,31.0,57.0
20 Mei 2025,Harmonik,18,4.4,7.4,31.0,104.0
20 Mei 2025,Low Frequency,1,,4.4,,19.0
20 Mei 2025,Vulkanik Dalam,9,2.9,14.8,8.0,15.0
20 Mei 2025,Tektonik Lokal,1,,5.9,,30.0
20 Mei 2025,Tektonik Jauh,3,5.1,29.6,43.0,323.0
21 Mei 2025,Hembusan,4,2.9,10.5,26.0,54.0
21 Mei 2025,Harmonik,11,2.9,10.5,43.0,145.0
21 Mei 2025,Vulkanik Dalam,14,2.9,22.2,10.0,19.0
21 Mei 2025,Tektonik Lokal,3,7.4,14.2,25.0,36.0
21 Mei 2025,Tektonik Jauh,7,5.9,47.3,52.0,198.0
22 Mei 2025,Hembusan,7,2.9,14.8,26.0,57.0
22 Mei 2025,Harmonik,14,2.9,9.6,50.0,302.0
22 Mei 2025,Vulkanik Dalam,23,2.2,14.8,10.0,19.0
22 Mei 2025,Tektonik Lokal,1,,5.9,,32.0
22 Mei 2025,Tektonik Jauh,7,2.2,14.8,42.0,193.0
