Tanggal,Nama Gempa,Jumlah,Amplitudo Min (mm),Amplitudo Max (mm),Durasi Min (detik),Durasi Max (detik)
17 Januari 2025,Harmonik,12,2.9,7.4,45.0,252.0
17 Januari 2025,Low Frequency,4,3.7,4.4,22.0,46.0
17 Januari 2025,Vulkanik Dangkal,1,,4.4,,12.0
17 Januari 2025,Vulkanik Dalam,5,4.4,29.6,8.0,14.0
17 Januari 2025,Tektonik Lokal,8,9.6,47.3,24.0,43.0
17 Januari 2025,Tektonik Jauh,1,,7.4,,53.0
18 Januari 2025,Hembusan,23,3.7,10.5,27.0,246.0
18 Januari 2025,Harmonik,5,4.4,7.4,43.0,328.0
18 Januari 2025,Vulkanik Dalam,3,7.4,29.6,10.0,16.0
18 Januari 2025,Tektonik Lokal,4,4.4,44.4,23.0,31.0
18 Januari 2025,Tektonik Jauh,7,4.4,44.0,44.0,109.0
19 Januari 2025,Hembusan,49,2.9,29.6,24.0,192.0
19 Januari 2025,Harmonik,7,4.4,22.2,25.0,71.0
19 Januari 2025,Low Frequency,1,,4.4,,25.0
19 Januari 2025,Vulkanik Dalam,1,,7.4,,10.0
19 Januari 2025,Tektonik Jauh,2,2.9,44.4,59.0,109.0
19 Januari 2025,Getaran Banjir,1,,10.5,,2056.0
20 Januari 2025,Hembusan,30,2.9,22.2,39.0,202.0
20 Januari 2025,Harmonik,6,3.7,7.4,44.0,162.0
20 Januari 2025,Vulkanik Dalam,1,,29.6,,14.0
20 Januari 2025,Tektonik Lokal,1,,11.0,,32.0
20 Januari 2025,Tektonik Jauh,9,3.7,47.3,51.0,190.0
21 Januari 2025,Hembusan,19,2.9,11.0,37.0,139.0
21 Januari 2025,Harmonik,10,5.1,7.4,43.0,287.0
21 Januari 2025,Low Frequency,1,,7.4,,35.0
21 Januari 2025,Vulkanik Dalam,2,4.4,7.4,12.0,13.0
21 Januari 2025,Tektonik Lokal,2,7.4,22.0,23.0,24.0
21 Januari 2025,Tektonik Jauh,5,4.4,14.8,41.0,235.0
21 Januari 2025,Getaran Banjir,1,,47.3,,3282.0
22 Januari 2025,Hembusan,40,2.9,29.6,24.0,249.0
22 Januari 2025,Harmonik,3,2.9,7.4,47.0,161.0
22 Januari 2025,Low Frequency,4,2.2,29.6,31.0,64.0
22 Januari 2025,Vulkanik Dalam,3,7.4,22.2,10.0,18.0
22 Januari 2025,Tektonik Lokal,2,10.5,44.4,37.0,44.0
22 Januari 2025,Tektonik Jauh,4,5.9,47.3,54.0,140.0
23 Januari 2025,Hembusan,40,2.9,29.6,23.0,229.0
23 Januari 2025,Harmonik,7,4.4,10.5,24.0,163.0
23 Januari 2025,Low Frequency,3,2.9,10.5,27.0,39.0
23 Januari 2025,Vulkanik Dalam,2,2.9,14.8,10.0,13.0
23 Januari 2025,Tektonik Lokal,1,,4.4,,36.0
23 Januari 2025,Tektonik Jauh,10,2.9,29.6,40.0,308.0
24 Januari 2025,Hembusan,17,2.2,14.8,35.0,269.0
24 Januari 2025,Harmonik,20,2.2,7.4,52.0,270.0
24 Januari 2025,Vulkanik Dalam,7,3.7,7.4,10.0,15.0
24 Januari 2025,Tektonik Lokal,2,4.4,11.0,19.0,22.0
24 Januari 2025,Tektonik Jauh,11,2.2,47.3,47.0,299.0
25 Januari 2025,Hembusan,24,2.9,14.8,44.0,209.0
25 Januari 2025,Harmonik,13,3.7,7.4,49.0,268.0
25 Januari 2025,Low Frequency,2,2.9,4.4,25.0,37.0
25 Januari 2025,Vulkanik Dalam,6,5.9,29.6,12.0,19.0
25 Januari 2025,Tektonik Lokal,3,5.9,29.6,23.0,41.0
25 Januari 2025,Tektonik Jauh,2,2.9,5.9,114.0,308.0
25 Januari 2025,Getaran Banjir,1,,44.0,,1472.0
26 Januari 2025,Hembusan,20,2.2,14.8,22.0,260.0
26 Januari 2025,Harmonik,4,2.2,5.3,28.0,399.0
26 Januari 2025,Low Frequency,3,2.9,4.4,23.0,55.0
26 Januari 2025,Vulkanik Dalam,1,,7.4,,11.0
26 Januari 2025,Tektonik Lokal,2,7.4,10.5,27.0,30.0
26 Januari 2025,Tektonik Jauh,8,2.9,10.5,48.0,134.0
27 Januari 2025,Hembusan,22,2.9,10.5,29.0,189.0
27 Januari 2025,Harmonik,9,4.4,10.5,22.0,179.0
27 Januari 2025,Low Frequency,2,,4.4,20.0,38.0
27 Januari 2025,Vulkanik Dangkal,1,,14.8,,12.0
27 Januari 2025,Vulkanik Dalam,3,2.9,29.6,10.0,14.0
27 Januari 2025,Tektonik Lokal,1,,4.4,,29.0
27 Januari 2025,Tektonik Jauh,5,2.2,14.8,50.0,188.0
28 Januari 2025,Hembusan,20,2.9,14.8,31.0,201.0
28 Januari 2025,Harmonik,12,2.9,7.4,52.0,202.0
28 Januari 2025,Low Frequency,2,2.9,4.4,34.0,192.0
28 Januari 2025,Tektonik Lokal,3,2.9,47.3,29.0,48.0
28 Januari 2025,Tektonik Jauh,6,2.9,29.6,46.0,251.0
29 Januari 2025,Hembusan,12,2.9,7.4,31.0,155.0
29 Januari 2025,Harmonik,10,2.9,7.4,72.0,211.0
29 Januari 2025,Vulkanik Dalam,5,3.7,37.0,8.0,12.0
29 Januari 2025,Tektonik Jauh,9,2.9,14.8,61.0,258.0
30 Januari 2025,Hembusan,17,2.9,7.4,48.0,294.0
30 Januari 2025,Harmonik,3,5.9,7.4,49.0,75.0
30 Januari 2025,Vulkanik Dalam,6,5.9,47.3,10.0,14.0
